signal_id,scenario,symbol,entry_time,entry_price,timeframe,score,confidence,signal
20260827014214_001,V9.16_FORWARD,SOL/USDT,2026-08-27T00:00:00+00:00,100.590000000000,1h,100.00,100.00,LONG
20260827014214_002,V9.16_FORWARD,BICO/USDT,2026-08-27T00:00:00+00:00,0.026770000000,1h,75.00,75.00,LONG
20260827014214_003,V9.16_FORWARD,ONT/USDT,2026-08-27T00:00:00+00:00,0.064540000000,1h,85.00,85.00,LONG
20260827014214_004,V9.16_FORWARD,PROM/USDT,2026-08-27T00:00:00+00:00,4.379000000000,1h,100.00,100.00,LONG
20260827014214_005,V9.16_FORWARD,SOXLB/USDT,2026-08-27T00:00:00+00:00,121.210000000000,1h,100.00,100.00,LONG
20260827000000+0000_2bebac6d5a,V9.20_V3_FORWARD,ONT/USDT,2026-08-27T00:00:00+00:00,0.064540000000,1h,75.00,62.00,LONG
20260827000000+0000_3f769063fd,V9.20_V3_FORWARD,SOXLB/USDT,2026-08-27T00:00:00+00:00,121.210000000000,1h,73.00,68.00,LONG
20260827000000+0000_66ddb2455f,V9.20_V3_FORWARD,PROM/USDT,2026-08-27T00:00:00+00:00,4.379000000000,1h,72.00,67.00,LONG
20260827000000+0000_dfb2c9c0f6,V9.20_V3_FORWARD,SOL/USDT,2026-08-27T00:00:00+00:00,100.590000000000,1h,69.00,56.00,LONG
20260827000000+0000_8755a77972,V9.20_V3_FORWARD,WLD/USDT,2026-08-27T00:00:00+00:00,0.407600000000,1h,65.00,55.00,LONG
20260827010000+0000_ce4a93c35c,V9.20_V3_FORWARD,PROM/USDT,2026-08-27T01:00:00+00:00,4.603000000000,1h,72.00,67.00,LONG
20260827010000+0000_0b54b953ff,V9.20_V3_FORWARD,SOL/USDT,2026-08-27T01:00:00+00:00,101.450000000000,1h,69.00,56.00,LONG
20260827010000+0000_7147ca1f3f,V9.20_V3_FORWARD,WLD/USDT,2026-08-27T01:00:00+00:00,0.408200000000,1h,69.00,56.00,LONG
20260827010000+0000_119b324bca,V9.20_V3_FORWARD,TAO/USDT,2026-08-27T01:00:00+00:00,239.600000000000,1h,65.00,55.00,LONG
20260827020000+0000_f63c7e4f02,V9.20_V3_FORWARD,UNI/USDT,2026-08-27T02:00:00+00:00,4.405000000000,1h,70.00,65.00,LONG
20260827020000+0000_a56b4fd6ef,V9.20_V3_FORWARD,PROM/USDT,2026-08-27T02:00:00+00:00,4.223000000000,1h,67.00,55.00,LONG
20260827020000+0000_fde5b66017,V9.20_V3_FORWARD,TAO/USDT,2026-08-27T02:00:00+00:00,240.500000000000,1h,65.00,55.00,LONG
20260827030000+0000_30f310d4da,V9.20_V3_FORWARD,PROM/USDT,2026-08-27T03:00:00+00:00,4.472000000000,1h,72.00,67.00,LONG
20260827050000+0000_1e1154b339,V9.20_V3_FORWARD,TUT/USDT,2026-08-27T05:00:00+00:00,0.056450000000,1h,75.00,70.00,LONG
20260827060000+0000_ef6e4f3810,V9.20_V3_FORWARD,PROM/USDT,2026-08-27T06:00:00+00:00,4.828000000000,1h,75.00,70.00,LONG
20260827060000+0000_e58d9ea7e4,V9.20_V3_FORWARD,TUT/USDT,2026-08-27T06:00:00+00:00,0.055500000000,1h,72.00,67.00,LONG
20260827060000+0000_4db6adea3f,V9.20_V3_FORWARD,TAO/USDT,2026-08-27T06:00:00+00:00,243.500000000000,1h,67.00,54.00,LONG
20260827060000+0000_56fe2f188c,V9.20_V3_FORWARD,ENA/USDT,2026-08-27T06:00:00+00:00,0.152000000000,1h,65.00,55.00,LONG
20260827070000+0000_66fbf74dac,V9.20_V3_FORWARD,PROM/USDT,2026-08-27T07:00:00+00:00,4.561000000000,1h,73.00,60.00,LONG
20260827070000+0000_c7759d3aaf,V9.20_V3_FORWARD,TAO/USDT,2026-08-27T07:00:00+00:00,249.200000000000,1h,70.00,70.00,LONG
20260827080000+0000_3aa2d9f679,V9.20_V3_FORWARD,BNB/USDT,2026-08-27T08:00:00+00:00,710.080000000000,1h,73.00,68.00,LONG
20260827080000+0000_32e1d603e2,V9.20_V3_FORWARD,BTC/USDT,2026-08-27T08:00:00+00:00,79755.990000000005,1h,73.00,68.00,LONG
20260827080000+0000_3f226347ec,V9.20_V3_FORWARD,CRCLB/USDT,2026-08-27T08:00:00+00:00,91.800000000000,1h,73.00,68.00,LONG
20260827080000+0000_31467b651d,V9.20_V3_FORWARD,ETH/USDT,2026-08-27T08:00:00+00:00,2531.050000000000,1h,73.00,68.00,LONG
20260827080000+0000_c6ff838c6d,V9.20_V3_FORWARD,UNI/USDT,2026-08-27T08:00:00+00:00,4.454000000000,1h,73.00,68.00,LONG
20260827080000+0000_8199d86118,V9.20_V3_FORWARD,MOVR/USDT,2026-08-27T08:00:00+00:00,0.931000000000,1h,72.00,59.00,LONG
20260827080000+0000_43af21ceba,V9.20_V3_FORWARD,LINK/USDT,2026-08-27T08:00:00+00:00,11.859000000000,1h,70.00,70.00,LONG
20260827080000+0000_ee56edb168,V9.20_V3_FORWARD,SOL/USDT,2026-08-27T08:00:00+00:00,104.660000000000,1h,70.00,70.00,LONG
20260827080000+0000_4c62532496,V9.20_V3_FORWARD,SNDKB/USDT,2026-08-27T08:00:00+00:00,1580.410000000000,1h,69.00,56.00,LONG
20260827080000+0000_f8429df70e,V9.20_V3_FORWARD,TUT/USDT,2026-08-27T08:00:00+00:00,0.057090000000,1h,69.00,56.00,LONG
